Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
Aubameyang	Arsenal	0	0	0	1	11.0	3.4	5.223387809685804	4.992766345506106	4.2742339327908	5.21098773773686	Chelsea	West Ham	Cardiff	Newcastle	Everton		18.2
Vardy	Leicester	0	0	0	1	9.0	3.3	2.9206933875769585	2.489748501337251	2.8280267518349893	3.8368496461308093	Wolves	Southampton	Liverpool	Bournemouth	Huddersfield		8.3
Shaw	Man Utd	0	1	0	0	5.1	3.3	2.5689138499683066	2.8972391045061876	3.1753732571771414	3.586842026142192	Brighton	Spurs	Burnley	Watford	Wolves		9.8
Azpilicueta	Chelsea	0	1	0	0	6.5	3.1999999999999997	3.2132733084723615	3.9241251266243147	4.474656131493138	3.2939166421503203	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		15.4
Alonso	Chelsea	0	1	0	0	6.5	3.1999999999999997	3.2132733084723615	3.9241251266243147	4.474656131493138	3.2939166421503203	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		18.4
Alexander-Arnold	Liverpool	0	1	0	0	5.0	3.2	4.184628898452516	2.9788251709919207	2.292104740708319	4.025569112829005	Crystal Palace	Brighton	Leicester	Spurs	Southampton		16.8
Fred	Man Utd	0	0	1	0	6.0	3.2000000000000006	2.4910679757268435	2.8094439801272126	3.079149825141471	3.478149843531823	Brighton	Spurs	Burnley	Watford	Wolves		4.7
Rashford	Man Utd	0	0	0	1	7.0	3.2000000000000006	2.4910679757268435	2.8094439801272126	3.079149825141471	3.478149843531823	Brighton	Spurs	Burnley	Watford	Wolves		10.9
Pickford	Everton	1	0	0	0	5.0	3.1	2.517851975613369	3.4160283156351112	3.0037102916743956	2.053228697346314	Southampton	Bournemouth	Huddersfield	West Ham	Arsenal		20.2
Coleman	Everton	0	1	0	0	5.5	3.1	2.517851975613369	3.4160283156351112	3.0037102916743956	2.053228697346314	Southampton	Bournemouth	Huddersfield	West Ham	Arsenal		3.0
Schmeichel	Leicester	1	0	0	0	5.0	3.1	2.743681667117749	2.338854652771357	2.656631191117718	3.6043133039410638	Wolves	Southampton	Liverpool	Bournemouth	Huddersfield		5.4
