Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent	News	Selected
Kane	Spurs	0	0	0	1	12.5	6.3500000000000005	8.119460552405721	4.935153000168433	6.675125531313485	6.011278454602816
Salah	Liverpool	0	0	1	0	13.0	7.250000000000001	6.105275773283378	7.547299034448024	5.854361515968339	4.700303846881685
Agüero	Man City	0	0	0	1	11.0	3.75	6.239006010479022	4.501171056160313	5.3516419173297995	5.790171919505985
Hazard	Chelsea	0	0	1	0	10.5	4.925000000000001	4.464288997570269	4.252310482335469	5.299675885968984	6.0147621129708595
Firmino	Liverpool	0	0	0	1	9.5	5.074999999999999	4.191914599056249	5.381746688458595	4.042033750008676	3.221428488193883
Azpilicueta	Chelsea	0	1	0	0	6.5	4.625	4.3220876303720885	3.934311881376154	4.963981443970882	5.746001167278766
Alonso	Chelsea	0	1	0	0	6.5	4.5249999999999995	4.1970876303720885	3.8593118813761538	4.838981443970882	5.6710011672787655
Mané	Liverpool	0	0	1	0	9.5	3.375	2.768854403351728	3.620821297460356	2.5774791223487323	1.98328259507925
Eriksen	Spurs	0	0	1	0	9.5	4.725	6.20318610886123	3.657252142977452	5.17151823665249	4.368770324716297
De Bruyne	Man City	0	0	1	0	10.0	4.625000000000001	7.1157650488023805	5.480983687174664	6.220379210557033	6.813744412385029
van Dijk	Liverpool	0	1	0	0	6.0	3.4999999999999996	2.7977340119426857	3.84897051546388	2.648369867028845	2.156990808849983
Robertson	Liverpool	0	1	0	0	6.0	3.8	3.0227340119426858	4.19897051546388	2.873369867028845	2.4319908088499833
Alisson	Liverpool	1	0	0	0	5.5	3.0749999999999997	2.5227340119426858	3.2989705154638798	2.348369867028845	1.806990808849983
Otamendi	Man City	0	1	0	0	6.5	4.0249999999999995	6.3159849285927985	4.965960266051457	5.413346372210436	6.197940973994908
Walker	Man City	0	1	0	0	6.5	3.8499999999999996	6.115984928592798	4.815960266051458	5.238346372210435	6.0479409739949075
De Gea	Man Utd	1	0	0	0	6.0	4.375	4.439477719802268	3.8161080033545867	3.8185132445716468	4.299689777953297
Lloris	Spurs	1	0	0	0	5.5	3.8	5.31623623251801	3.184385285823901	4.329049948950046	3.8732129625192924
Vertonghen	Spurs	0	1	0	0	6.0	3.75	5.266236232518009	3.109385285823901	4.254049948950046	3.8232129625192925
Davies	Spurs	0	1	0	0	6.0	3.7749999999999995	5.29123623251801	3.159385285823901	4.329049948950046	3.8732129625192924
Trippier	Spurs	0	1	0	0	6.0	3.55	5.016236232518009	2.884385285823901	4.004049948950046	3.548212962519292
Aubameyang	Arsenal	0	0	0	1	11.0	3.0499999999999994	3.59678187306912	5.525701938202387	5.281732790584093	4.521613861976142
Sané	Man City	0	0	1	0	9.5	3.0	4.991204808383218	3.600936844928251	4.281313533863839	4.632137535604787
Son	Spurs	0	0	1	0	8.5	4.15	5.519498763432205	3.178668571535513	4.549682877024435	3.8305736219700415
Lukaku	Man Utd	0	0	0	1	11.0	2.85	3.99207691103625	3.367978149450593	3.4982561778956724	3.810688086883544
Mahrez	Man City	0	0	1	0	9.0	4.1000000000000005	6.341864447754476	4.930866581558632	5.535215018824052	6.10972722043443
Willian	Chelsea	0	0	1	0	7.5	2.7750000000000004	2.331416406378157	2.3159832115117727	2.8283333039772125	3.225131348305121
Keita	Liverpool	0	0	1	0	7.5	2.7	2.215083522681383	2.8966570379682857	2.0619832978789865	1.5866260760634003
Shaqiri	Liverpool	0	0	1	0	7.5	3.975	3.240083522681383	4.021657037968286	3.1869832978789865	2.3366260760634003
Ederson	Man City	1	0	0	0	5.5	3.6750000000000003	5.6920843275448965	4.540843160435426	4.878182180477456	5.643923782044309
Mendy	Man City	0	1	0	0	6.0	2.725	4.492084327544896	3.2408431604354258	3.8531821804774555	4.16892378204431
David Silva	Man City	0	0	1	0	8.5	2.725	4.392304207335316	3.1508197393122197	3.7461493421308596	4.053120343654189
van Aanholt	Crystal Palace	0	1	0	0	5.5	3.0999999999999996	2.538012824223505	2.8490375935644217	3.3352926026090772	2.9552259546036668
Pickford	Everton	1	0	0	0	5.0	3.5	4.099509763442392	3.2003169953496817	4.297647793958244	3.9086709917916673
Alexander-Arnold	Liverpool	0	1	0	0	5.0	2.375	1.9074330334200797	2.4943435604726902	1.775596728729127	1.3662613432768167
Stones	Man City	0	1	0	0	5.5	2.375	3.8681837264969943	2.790726054819395	3.3180179887444763	3.589906590093711
Bernardo Silva	Man City	0	0	1	0	7.5	2.4000000000000004	3.893183726496994	2.790726054819395	3.3180179887444763	3.589906590093711
Zaha	Crystal Palace	0	0	0	1	7.0	3.1999999999999997	2.6504631960728435	2.9039694393485096	3.523006221711424	3.1377847331904083
Tosun	Everton	0	0	0	1	7.0	2.2	2.6414926895608706	2.1454476087029386	2.910778652607445	2.5594447667795697
Rashford	Man Utd	0	0	0	1	7.0	2.8249999999999997	2.6757408818161834	2.215878636437279	2.3223992889757588	2.5473491166510325
Milivojevic	Crystal Palace	0	0	1	0	6.5	3.2	2.4879466533559564	2.980613387943206	3.5105774280788737	3.1319709927193227
Richarlison	Everton	0	0	1	0	6.5	3.0500000000000003	3.4971536649336965	2.818824479820691	3.7318222721571788	3.4180360251088713
Mee	Burnley	0	1	0	0	5.0	2.4250000000000003	2.9752741438247767	2.719207908646197	2.157372619656316	2.5731343473123864
Tarkowski	Burnley	0	1	0	0	5.0	2.5250000000000004	3.1002741438247767	2.819207908646197	2.282372619656316	2.673134347312386
